user_id,game_name,payment_date,revenue_amount_usd
dVTYjVpXbOM/sOgCq4CV0g==,game 3,10/12/2022,23.43
WRx4ye0bvLc4925ketwxzQ==,game 3,10/27/2022,19.8
BJlqmsfEshc/QjsD7VgEjg==,game 3,6/24/2022,12.12
ORSvkhCut21rsk0cVtJfJA==,game 3,11/30/2022,14.19
QZBiEFECZAgVl5IkN9/cFw==,game 3,10/18/2022,22.38
s27V1tbCAysovKSY1XcdWQ==,game 3,7/5/2022,13.56
ilnMSoPJHAYMegDX02XG+w==,game 3,5/23/2022,28.11
7EPlnA7OQ9MhMx+od6FA9g==,game 3,3/23/2022,24.09
geIiJ1L04w2qAE0qzQUb2g==,game 3,9/4/2022,22.92
hi1ErLiMLDP0HWvMqLKv6g==,game 3,11/28/2022,27.75
3Xuq0acIoGEgw19qflIoog==,game 3,7/2/2022,14.52
4pssft0TgDfiQexjbe25lw==,game 3,8/15/2022,14.61
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,6/9/2022,22.62
B4tGKx0IrkPGAUEnO6mMNA==,game 3,11/22/2022,13.41
v9uJC6CIm0KR00+LpWQUBg==,game 3,11/28/2022,19.35
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,8/24/2022,17.67
fvYhEtD56gROaXqCi9/z/Q==,game 3,7/30/2022,21.69
er3/fOrRpmyqiRaC0CaFcg==,game 3,9/12/2022,30.03
K/6KHxREKTlFZXRfBNVNuQ==,game 3,9/20/2022,18.18
AN9at3LlvDamqXq8dvHD4w==,game 3,7/7/2022,13.71
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,10/13/2022,20.1
7vnYIRqjBNlAyBbtPg02tQ==,game 3,9/21/2022,23.16
8ncYOMYXeKDelzX40EnuLA==,game 3,12/6/2022,14.85
1KzlDBp5hORL7Y5PBaB+0g==,game 3,10/16/2022,22.47
hi1ErLiMLDP0HWvMqLKv6g==,game 3,10/18/2022,20.07
r9AjQVS2nstu5lpVmDlihA==,game 3,8/15/2022,12.27
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,4/20/2022,20.28
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,10/9/2022,34.59
zSepnWFgLH0tQb1s4mxKZQ==,game 3,9/20/2022,24.3
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,5/30/2022,31.2
hi1ErLiMLDP0HWvMqLKv6g==,game 3,7/13/2022,19.05
F03P4YcFbbtcWUlujjIQmQ==,game 3,11/29/2022,22.77
VAduzk1Og0uicXfMLD3VbQ==,game 3,9/5/2022,16.02
G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,12/26/2022,14.22
9IWUQ1iWPfYSSN2tWuVqMQ==,game 3,8/9/2022,26.76
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,6/5/2022,14.94
0A5RkQrm+GBgG7KSFk/xhw==,game 3,8/27/2022,13.53
cv6g2/jSkR+FwO58WY85DQ==,game 3,8/1/2022,23.34
T+RA0/fgzbUBLF89D4AEDA==,game 3,6/12/2022,16.23
B4b6v6eUHvAVOeAQk6EEiw==,game 3,6/21/2022,29.58
4btLP2zvi8eBV0t08fdkKQ==,game 3,7/6/2022,23.91
lJW2nxFOiXDfsmSrwGsFQw==,game 3,9/25/2022,24.87
zmZPan/KZoyrIR2r/SvLdA==,game 3,12/12/2022,13.35
A6QTeGOKjaGkGkRCFqNybw==,game 3,8/8/2022,13.62
B4tGKx0IrkPGAUEnO6mMNA==,game 3,11/23/2022,14.61
06RPvlsFPCmM9ag+iSM/Ag==,game 3,6/8/2022,14.16
er3/fOrRpmyqiRaC0CaFcg==,game 3,9/21/2022,27.24
8TTRdxncZg7Nl0tvfwsZng==,game 3,5/30/2022,14.25
eoqO46DzxSrKA2rredUNyQ==,game 3,10/6/2022,16.65
7EPlnA7OQ9MhMx+od6FA9g==,game 3,5/26/2022,13.23
dUXVADLWvf2uvh+Q6TNrMw==,game 3,11/14/2022,12.3
F03P4YcFbbtcWUlujjIQmQ==,game 3,10/15/2022,21.78
7SeM1pmnTTTXfhI+x3ldng==,game 3,11/16/2022,38.46
LO9NuZYI6zP2HXEBAS4wpw==,game 3,10/12/2022,14.49
OU1FxSli7e6szUGr2+7M9A==,game 3,12/4/2022,20.55
DqezK7HAqZ+GovyRuzxD1A==,game 3,7/29/2022,41.34
VAduzk1Og0uicXfMLD3VbQ==,game 3,12/11/2022,21.3
7RkS5ikrXwWByJobMXv2sA==,game 3,12/23/2022,40.2
r9AjQVS2nstu5lpVmDlihA==,game 3,7/2/2022,24.84
3Xuq0acIoGEgw19qflIoog==,game 3,9/24/2022,16.62
q8UcdT1sZCl07AqhDVz5ZA==,game 3,8/10/2022,15.18
Q0GNgLhqfwwVwtvQhJt58A==,game 3,11/12/2022,21.24
q8UcdT1sZCl07AqhDVz5ZA==,game 3,10/8/2022,33
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,6/13/2022,22.14
tBFTAZra3r5TkHhDubnYyg==,game 3,10/16/2022,28.68
Ox0UcaMHdCuTLe5/JQrJMQ==,game 3,10/5/2022,20.25
7GE5h/3N3lcro3K9T3aujw==,game 3,4/10/2022,16.62
ildaqkizLaFesmkjCvlzmQ==,game 3,8/9/2022,25.95
crKNTIblJ0113SKEtSJQHw==,game 3,5/10/2022,15.96
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,7/4/2022,23.19
zmZPan/KZoyrIR2r/SvLdA==,game 3,7/14/2022,17.1
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,11/10/2022,24.84
q+yzIb2a/avnS9k89SDQVw==,game 3,12/10/2022,16.47
q8UcdT1sZCl07AqhDVz5ZA==,game 3,9/16/2022,17.97
1BBMagZRq/39AV1l2rm4Iw==,game 3,11/27/2022,14.67
HxWcXHURvvtOJkrXAcDxQg==,game 3,5/26/2022,25.47
zmZPan/KZoyrIR2r/SvLdA==,game 3,8/14/2022,16.2
WDsSR+yQGqoMMBfCxqkZlw==,game 3,10/1/2022,17.94
OU1FxSli7e6szUGr2+7M9A==,game 3,12/29/2022,20.97
gxZPbCoYIu8slavUm05KGA==,game 3,11/2/2022,29.22
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,12/4/2022,25.74
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,11/12/2022,14.25
RwtKwrRSrVpyAMRaDyhr8g==,game 3,9/20/2022,15.21
e/6IajqZ922YY1rh2ErMJQ==,game 3,9/22/2022,15.69
7GE5h/3N3lcro3K9T3aujw==,game 3,6/19/2022,16.47
lx3SsUV7NOrv93tCexVp5A==,game 3,10/22/2022,16.02
hi1ErLiMLDP0HWvMqLKv6g==,game 3,7/24/2022,31.11
NMmQVq8bB84KydONJjvTfQ==,game 3,3/13/2022,15.33
2be8IOVjt9pzDDEVqZwIKQ==,game 3,12/17/2022,18
GEAVJz1gd3SThbDZR01fcA==,game 3,5/24/2022,27.33
gT0iqDKuIXNm4ceMd9eZ1A==,game 3,7/8/2022,14.19
ojVPXYZw2oeGtcmG7LcLGA==,game 3,6/19/2022,17.46
wDXJbTe2RLmAMKsPm5zZDg==,game 3,8/27/2022,21.03
7SeM1pmnTTTXfhI+x3ldng==,game 3,8/3/2022,33.3
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,9/18/2022,39.09
3iITAz/ADjFv3PDTgTjxSg==,game 3,8/6/2022,18.84
pz7LUOs9i7xgncmHVxQvOw==,game 3,7/18/2022,25.38
3iITAz/ADjFv3PDTgTjxSg==,game 3,3/20/2022,23.76
hi1ErLiMLDP0HWvMqLKv6g==,game 3,8/6/2022,12.87
YC2fZQTQXV2UR1/WHDrVqw==,game 3,12/9/2022,31.32
ojVPXYZw2oeGtcmG7LcLGA==,game 3,5/26/2022,27.36
F03P4YcFbbtcWUlujjIQmQ==,game 3,11/19/2022,20.46
mXihLMwkG8RgO1jsFnJXnA==,game 3,8/25/2022,12.75
psERjQAamFwr88Zadc4wcQ==,game 3,7/4/2022,13.08
rw8yxS9+t5PvgINa7EhMvQ==,game 3,9/28/2022,19.44
nS8ODZHVyaod50PqOekmOw==,game 3,10/4/2022,12.6
aQDvOXzsDAJWi3Y47ptRPg==,game 3,6/1/2022,19.08
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,3/30/2022,39
pLOCMIX+imLIzoDehgdOPA==,game 3,11/17/2022,14.91
VAduzk1Og0uicXfMLD3VbQ==,game 3,9/8/2022,20.82
gxZPbCoYIu8slavUm05KGA==,game 3,12/17/2022,19.5
dUXVADLWvf2uvh+Q6TNrMw==,game 3,11/6/2022,16.47
7EPlnA7OQ9MhMx+od6FA9g==,game 3,8/24/2022,25.65
HWpnvfSvYzUsQCcCKhetIg==,game 3,7/25/2022,14.22
D0sawvsyqnyUMXNy+aXo7Q==,game 3,12/24/2022,25.95
WRx4ye0bvLc4925ketwxzQ==,game 3,11/29/2022,15.03
e/6IajqZ922YY1rh2ErMJQ==,game 3,11/25/2022,38.1
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,9/27/2022,33.09
gPRMy8HkmaiyX+13OxuP/A==,game 3,4/29/2022,13.32
QZBiEFECZAgVl5IkN9/cFw==,game 3,9/5/2022,22.14
zmZPan/KZoyrIR2r/SvLdA==,game 3,8/9/2022,16.29
7L4SKPGMd33lnSOq6PWyYg==,game 3,12/10/2022,16.92
xSi5UajdkNHXppWOTm6g8w==,game 3,7/11/2022,19.17
DorDcyqBWMg5IEaflqn5Xw==,game 3,9/28/2022,12.54
6NexxpTuLaFmuoksJ0l8rg==,game 3,12/15/2022,24.57
dxXTsxsoGNYPn+1rVBAUww==,game 3,10/26/2022,18.21
+XPKfmhBmI2NdGQ96Iaysg==,game 3,8/15/2022,18.48
wA+Rd++M6EKUppqQeb+pTw==,game 3,9/28/2022,12.15
H44DjZG42orzuBXLai7JkA==,game 3,3/22/2022,13.32
QoHEss2e+b385deeX2p39Q==,game 3,7/3/2022,16.89
ux4Q9iTbOyaU1c/0SKvF7w==,game 3,11/4/2022,21.93
DAMO0tILVRlXZhYONdvs0Q==,game 3,6/27/2022,12.33
c5qsNfxhW80Ws3aBXDa1nA==,game 3,9/6/2022,19.59
oQQmPjqm7DR+exPmp6xDhg==,game 3,8/24/2022,13.2
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,4/8/2022,24.06
Np8MbaAllrt9d2F+g1ZvJQ==,game 3,11/23/2022,21.78
IdKyooyTjAbvCA7p+ujKCw==,game 3,5/20/2022,17.43
B8zuTsAC2iJ98u2nlv/fUw==,game 3,5/4/2022,12.3
er3/fOrRpmyqiRaC0CaFcg==,game 3,6/26/2022,15.69
xVwGwMaEG1yZydv5VIfEQA==,game 3,9/8/2022,18.84
Lug+Yg90jslWgHEN6dc+Ng==,game 3,7/16/2022,25.71
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,9/24/2022,20.19
YC2fZQTQXV2UR1/WHDrVqw==,game 3,11/7/2022,13.41
SwiAKdzn0b+A4XegM5x0Hw==,game 3,11/25/2022,17.16
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,9/23/2022,14.04
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,11/1/2022,22.89
UNcp1RmIObUiGNqLDHjNVw==,game 3,10/29/2022,38.1
0A5RkQrm+GBgG7KSFk/xhw==,game 3,11/30/2022,23.97
72brUr/DKItStlTen5pHYg==,game 3,6/7/2022,17.76
zSepnWFgLH0tQb1s4mxKZQ==,game 3,10/18/2022,20.22
kGxMA4SONgR8wL4JeeX8PQ==,game 3,12/29/2022,17.43
ZmnZeh2zth0OyQaAzd6eTA==,game 3,8/21/2022,13.74
xSi5UajdkNHXppWOTm6g8w==,game 3,10/21/2022,23.04
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,8/23/2022,34.47
lP6BWSFF4OZeWp0jrAHY9g==,game 3,5/14/2022,13.2
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,11/27/2022,29.73
1KzlDBp5hORL7Y5PBaB+0g==,game 3,10/18/2022,20.37
c5qsNfxhW80Ws3aBXDa1nA==,game 3,10/1/2022,14.25
4btLP2zvi8eBV0t08fdkKQ==,game 3,7/16/2022,16.8
zmZPan/KZoyrIR2r/SvLdA==,game 3,11/25/2022,29.01
DorDcyqBWMg5IEaflqn5Xw==,game 3,5/31/2022,14.4
DAMO0tILVRlXZhYONdvs0Q==,game 3,9/25/2022,18.03
Bcs3CbYx2EpbL9otxlEUmg==,game 3,8/19/2022,25.89
Krr8Kwf65LaX8LctHRsFWg==,game 3,12/1/2022,34.86
HxWcXHURvvtOJkrXAcDxQg==,game 3,7/9/2022,24.63
SwiAKdzn0b+A4XegM5x0Hw==,game 3,10/23/2022,21.09
geIiJ1L04w2qAE0qzQUb2g==,game 3,7/5/2022,17.04
ymEApWLjh3I9oLJnWIBHFA==,game 3,9/28/2022,33.27
qEF/fPDQLJPXIx6RiSIP1A==,game 3,7/10/2022,12.63
BDvlXttM/hbupcLic+5ZWg==,game 3,6/14/2022,16.44
DorDcyqBWMg5IEaflqn5Xw==,game 3,9/25/2022,16.95
q8UcdT1sZCl07AqhDVz5ZA==,game 3,9/27/2022,23.01
1BBMagZRq/39AV1l2rm4Iw==,game 3,11/4/2022,14.19
DorDcyqBWMg5IEaflqn5Xw==,game 3,8/3/2022,28.95
pLOCMIX+imLIzoDehgdOPA==,game 3,10/15/2022,13.47
o55dseByUOl9s5IQCz1kuQ==,game 3,4/21/2022,24.3
DcYWdg5xq9/5Yd7SaaVhZw==,game 3,8/9/2022,16.98
7EPlnA7OQ9MhMx+od6FA9g==,game 3,12/19/2022,16.59
BbnuW+2kIgxo7dxg5BBIeQ==,game 3,12/6/2022,23.4
HWpnvfSvYzUsQCcCKhetIg==,game 3,7/17/2022,14.01
V7J42heW8l19wiBJ8UpRyw==,game 3,7/6/2022,26.52
unoAVprNoepzjDQwQzWj6A==,game 3,12/26/2022,34.65
iFnn4bfYgNs8OS5MCcLjeA==,game 3,9/28/2022,14.19
jVhb69DTRT5TSWYEiUrlbg==,game 3,3/26/2022,17.46
V7J42heW8l19wiBJ8UpRyw==,game 3,8/25/2022,33.51
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,11/10/2022,15.63
jVhb69DTRT5TSWYEiUrlbg==,game 3,10/29/2022,15.51
RQBsCvxlogTNUidSygqgcQ==,game 3,8/29/2022,14.22
RiIlY436bXNX8MIW9vUaAQ==,game 3,9/10/2022,16.02
v9uJC6CIm0KR00+LpWQUBg==,game 3,12/5/2022,21.33
qEF/fPDQLJPXIx6RiSIP1A==,game 3,9/15/2022,22.5
GOl6BQXsy0zvbvIWIoKEQw==,game 3,8/30/2022,58.92
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,4/30/2022,18.45
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,10/13/2022,15.69
7GCGwypiXsxGxetp6/KmnA==,game 3,8/19/2022,12.45
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,8/2/2022,15.51
5a/eDajN+4bJdigfI5TWoQ==,game 3,7/4/2022,12.87
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,8/2/2022,30.39
BLnx9pj0y+SVkckLR/01qw==,game 3,9/22/2022,12.78
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,11/20/2022,17.37
6We7zBO7mVbNxGEl/xPKVg==,game 3,11/11/2022,50.28
dxXTsxsoGNYPn+1rVBAUww==,game 3,9/15/2022,16.05
nfIwLLLuemHymdg1HYidrA==,game 3,11/5/2022,23.85
I8yTxTfERu6jtLOfWB0dFQ==,game 3,9/10/2022,23.97
DAMO0tILVRlXZhYONdvs0Q==,game 3,7/26/2022,20.58
7zai/c69uF/NhB95HgKuYw==,game 3,10/12/2022,22.77
3iITAz/ADjFv3PDTgTjxSg==,game 3,7/12/2022,18.48
QZBiEFECZAgVl5IkN9/cFw==,game 3,9/15/2022,23.25
Np8MbaAllrt9d2F+g1ZvJQ==,game 3,12/17/2022,17.46
HxWcXHURvvtOJkrXAcDxQg==,game 3,6/16/2022,44.61
QZBiEFECZAgVl5IkN9/cFw==,game 3,8/29/2022,22.47
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,10/28/2022,21.66
QoHEss2e+b385deeX2p39Q==,game 3,8/24/2022,36.66
Hamw6F2EZmJfI2glmE2NEg==,game 3,6/9/2022,14.94
DAMO0tILVRlXZhYONdvs0Q==,game 3,6/2/2022,21.09
zeu++qOqokuGcT0ghN97bQ==,game 3,8/27/2022,15.6
Bcs3CbYx2EpbL9otxlEUmg==,game 3,3/30/2022,26.13
Veep00i4vvZbTAVD6GMoiA==,game 3,4/13/2022,14.88
7RkS5ikrXwWByJobMXv2sA==,game 3,11/12/2022,28.62
7BqUeLmbiug63XrWs2+ZQQ==,game 3,7/9/2022,22.47
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,11/2/2022,14.94
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,9/9/2022,28.14
Lug+Yg90jslWgHEN6dc+Ng==,game 3,11/20/2022,13.08
ORSvkhCut21rsk0cVtJfJA==,game 3,12/16/2022,21.87
BLnx9pj0y+SVkckLR/01qw==,game 3,10/1/2022,17.85
0afix9qVNfU3GJY1n0QGkw==,game 3,9/28/2022,14.7
ildaqkizLaFesmkjCvlzmQ==,game 3,8/6/2022,15.51
dpfu6t8G4blqMn55KM8bSg==,game 3,4/29/2022,33.03
NBaV27MmzBu99zAeNFSjUA==,game 3,11/30/2022,12.6
gT0iqDKuIXNm4ceMd9eZ1A==,game 3,9/27/2022,21.21
3KHhqZr7/1n2+bTP13WuXA==,game 3,9/7/2022,17.64
BbnuW+2kIgxo7dxg5BBIeQ==,game 3,10/3/2022,16.17
cjAwQwy//1xm2O5pNRveqw==,game 3,12/7/2022,12.63
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,4/23/2022,29.55
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,12/3/2022,32.19
rw8yxS9+t5PvgINa7EhMvQ==,game 3,7/12/2022,16.77
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,12/11/2022,23.85
7ew71UmoMb73L41PM/YL/w==,game 3,9/7/2022,17.22
HxWcXHURvvtOJkrXAcDxQg==,game 3,5/17/2022,17.37
Hamw6F2EZmJfI2glmE2NEg==,game 3,5/5/2022,15.6
fFqrZjaytcDUnW57W7PRJA==,game 3,12/29/2022,40.35
T+RA0/fgzbUBLF89D4AEDA==,game 3,6/18/2022,15.21
7GE5h/3N3lcro3K9T3aujw==,game 3,6/17/2022,22.98
BJlqmsfEshc/QjsD7VgEjg==,game 3,6/30/2022,27.9
B7ziVc7jLVg/+snNIp3hLQ==,game 3,7/2/2022,13.71
cOCixiBbcAHemYgbNdoTcw==,game 3,10/28/2022,16.77
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,11/1/2022,65.79
MRcEXu/KG95hsIyJM/816A==,game 3,7/10/2022,14.73
dUXVADLWvf2uvh+Q6TNrMw==,game 3,11/30/2022,22.89
xt/PY4N2zkZQgtlZ9Cg82w==,game 3,12/28/2022,27.21
ICBVvRc9TR+qF7IoBfEWsQ==,game 3,10/16/2022,24.24
hi1ErLiMLDP0HWvMqLKv6g==,game 3,8/28/2022,19.26
jVhb69DTRT5TSWYEiUrlbg==,game 3,6/16/2022,19.08
crKNTIblJ0113SKEtSJQHw==,game 3,11/15/2022,18.75
tBFTAZra3r5TkHhDubnYyg==,game 3,10/25/2022,17.88
DorDcyqBWMg5IEaflqn5Xw==,game 3,5/28/2022,23.22
Krr8Kwf65LaX8LctHRsFWg==,game 3,11/8/2022,23.49
ZmjMhgyYl6o8iFq964FEWg==,game 3,9/28/2022,29.13
0A5RkQrm+GBgG7KSFk/xhw==,game 3,10/4/2022,19.29
9IWUQ1iWPfYSSN2tWuVqMQ==,game 3,6/28/2022,26.79
4b7l8C489HEJirtoe7xtFg==,game 3,4/10/2022,14.94
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,6/9/2022,32.07
K/6KHxREKTlFZXRfBNVNuQ==,game 3,4/30/2022,17.67
orbgZNBGuhZZx63HTAbyIw==,game 3,7/29/2022,19.14
8ncYOMYXeKDelzX40EnuLA==,game 3,11/8/2022,20.67
7SeM1pmnTTTXfhI+x3ldng==,game 3,11/2/2022,20.16
cOCixiBbcAHemYgbNdoTcw==,game 3,12/6/2022,15.39
Re0WtVSaiuBn90MFtMRCww==,game 3,12/21/2022,18.48
8ncYOMYXeKDelzX40EnuLA==,game 3,8/25/2022,18.6
zmZPan/KZoyrIR2r/SvLdA==,game 3,12/1/2022,36.21
Bcs3CbYx2EpbL9otxlEUmg==,game 3,9/30/2022,24.03
jVhb69DTRT5TSWYEiUrlbg==,game 3,4/15/2022,28.05
UFVjte0RzYKTngAiVvjqPQ==,game 3,11/8/2022,12.09
