city,alias1,alias2,alias3,alias4,region,,
Beit Ijazah,,,,,Yosh,,
Beit Jann,,,,,North,,
Beit Kama,,,,,South,,
Beit Keshet,,,,,North,,
Beit Meir,,,,,Jerusalem,,
Beit Nechemia,,,,,Center,,
Beit Nekofa,,,,,Jerusalem,,
Beit Nir,,,,,Center,,
Beit Oren,,,,,North,,
Beit Oved,,,,,Center,,
Beit Raban,,,,,Center,,
Beit Rimon,,,,,North,,
Beit Shea'rim,,,,,North,,
Beit Shikma,,,,,Center,,
Beit Uziel,,,,,Center,,
Beit Yannai,,,,,Center,,
Beit Yatir,,,,,South,,
Beit Yehoshua,,,,,Center,,
Beit Yerah,,,,,North,,
Beit Yithak - Sha'ar Hefer,,,,,Center,,
Beit Yossef,,,,,North,,
Beit Zayit,,,,,Jerusalem,,
Beit Zera,,,,,North,,
Beit Zvi,,,,,North,,
Beitar Illit,,,,,Yosh,,
Beka'ot,,,,,North,,
Beko'a,,,,,Center,,
Ben Ami,,,,,Center,,
Ben Gurion College,,,,,South,,
Ben Shemen,Ben Shemen Youth Village,,,,Center,,
Ben Zakai,Ben Zakkay,,,,Center,,
Berekhya,,,,,Center,,
Berurim,,,,,Center,,
Bet,,,,,Center,,
Bet She'an,Beit She'an,Beit Shean,,,North,,
Bet Shemesh,Beit Shemesh,,,,Jerusalem,,
Betar Illit,,,,,Yosh,,
Bethlehem of Galilee,,,,,North,,
Betzet,Betzet Beach,,,,North,,
Bido,,,,,Yosh,,
Bi'ina,,,,,North,,
Bilu Shopping Center,,,,,Center,,
Binyamina,,,,,North,,
Binyamina Junction,,,,,North,,
Bir al-Maksur,,,,,North,,
Bir Hadaj,,,,,South,,
Bir Nabala,,,,,Yosh,,
Biriyeh,,,,,North,,
Bitan Aharon,,,,,Center,,
Bitha,,,,,South,,
Bitzaron,,,,,Center,,
Bnaya,,,,,Center,,
Bnei Atarot,,,,,Center,,
Bnei Ayish,,,,,Center,,
Bnei Brak,Bene Beraq,,,,Tel Aviv,,
Bnei Darom,Bnei Darom Compound,,,,Center,,
Bnei Dkalim,,,,,Yosh,,
Bnei Dror,,,,,Center,,
Bnei Netzarim,Gaza Containment 238** - Bnei Netzarim,,,,South,,
Bnei Netzarim,,,,,South,,
Bnei Re'em,,,,,Center,,
Bnei Yehuda Industrial Zone,Bnei Yehuda and Givat Yoav,,,,South,,
Bnei Zion,,,,,Center,,
bqa al-Gharbiyye,,,,,North,,
Brenner Industries,,,,,Center,,
Bror Hayil,Gaza Containment 251** - Bror Hayil,,,,South,,
Bror Hayil,,,,,South,,
Brosh,Brosh Industrial Zone,,,,Center,,
Brukhin,,,,,Yosh,,
Bu'eine Nujeidat,,,,,North,,
Buq'ata,,,,,North,,
Burgata,,,,,Center,,
Bustan HaGalil,,,,,North,,
Cabri,,,,,North,,
Caesarea,Caesarea Industrial Zone,Caesarea Marine Center,,,North,,
Carmel (village near Haifa),,,,,Haifa,,
Carmel Forest Spa Resort,,,,,Haifa,,
Carmiel Industrial Zone,,,,,North,,
Carmit,,,,,South,,
Central Sharon Regional Council,,,,,Center,,
Cinema City Glilot,,,,,Center,,
Daburiyya,,,,,North,,
Dafna,,,,,North,,
Dalia,,,,,North,,
Daliyat al-Karmel,,,,,Haifa,,
Dalton,,,,,North,,
Damon Priosn,,,,,North,,
Dan,,,,,North,,
Daniel,,,,,South,,
Darijat,,,,,South,,
Davira,,,,,South,,
Dead Sea Factories,Dead Sea Industries,Dead Sea Hotels,Dead Sea Hotels - Center,,South,,
Degania Alef,Degania Bet,,,,North,,
Deir al-Asad,,,,,North,,
Deir Hanna,,,,,North,,
Dekel,,,,,South,,
Dimona,Dimona Industrial Zone,,,,South,,
Dir Karmizan,,,,,Yosh,,
Dishon,,,,,North,,
Dmeide,,,,,Center,,
Dolev,,,,,Yosh,,
Dor,,,,,North,,
Dorot,,,,,South,,
Dovev,,,,,North,,
Dovrat,,,,,North,,
Duda'im Site,,,,,South,,
Duga,,,,,North,,
Dugit Beach,,,,,North,,
Dvir,,,,,South,,
Dvira Junction,,,,,South,,
East,,,,,North,,
Ed-Dahi,,,,,North,,
Efrat,,,,,Yosh,,
Eilabun,,,,,North,,
Eilat,,,,,South,,
Eilon,,,,,North,,
Eilot,,,,,South,,
Ein al-Asad,,,,,North,,
Ein as-Sahla,,,,,North,,
Ein Ayala,,,,,North,,
Ein Bokek,,,,,South,,
Ein Carmel,,,,,North,,
Ein Chod,,,,,North,,
Ein Dor,,,,,North,,
Ein Gedi,,,,,South,,
Ein Gedi Baths,,,,,South,,
Ein Gev,,,,,North,,
Ein Habasur,,,,,South,,
Ein HaBsor,,,,,South,,
Ein HaEmek,,,,,North,,
Ein HaHoresh,,,,,Center,,
Ein HaMifratz,,,,,Haifa,,
Ein HaNatziv,,,,,North,,
Ein Harod,,,,,North,,
Ein HaShlosha,,,,,South,,
Ein HaShofet,,,,,North,,
Ein Hatzava,,,,,South,,
Ein Hatzeva,,,,,South,,
Ein Hod,,,,,North,,
Ein Iron,,,,,North,,
Ein Kamonim,,,,,North,,
Ein Kerem Boarding School,,,,,Jerusalem,,
Ein Mahil,,,,,North,,
Ein Naqquba,,,,,Center,,
Ein Quiniyye,,,,,North,,
Ein Rafa,,,,,Jerusalem,,
Ein Sarid,,,,,Center,,
Ein Shemer,,,,,North,,
Ein Tamar,,,,,South,,
Ein Tzurim,,,,,Center,,
Ein Vered,,,,,Center,,
Ein Yacov,,,,,North,,
Ein Yahav,,,,,South,,
Ein Zivan,,,,,North,,
Einat,,,,,Center,,
Einav,,,,,Center,,
Eitan,,,,,Center,,
E'izariya,,,,,Yosh,,
El Amrani,,,,,South,,
El For'eh,,,,,South,,
El Masaq,,,,,South,,
El Rom,,,,,North,,
Elad,El`ad,El'ad,,,Center,,
Elazar,,,,,Yosh,,
Elei Zahav,,,,,Yosh,,
Eli,,,,,Yosh,,
Eliad,,,,,South,,
Eliav,,,,,Yosh,,
Elifelet,,,,,North,,
Elipaz,,,,,South,,
Elipaz and Timna Mines,,,,,South,,
Elishama,Elishema,,,,Center,,
Elkana,,,,,Center,,
Elon Moreh,,,,,Yosh,,
Elyachin,,,,,Center,,
Elyakim,,,,,North,,
Elyashiv,,,,,North,,
Emek Heffer Industrial Zone,,,,,Center,,
Emunim,,,,,Center,,
Erez,,,,,South,,
Eshbal,,,,,Center,,
Eshbol,,,,,South,,
Eshchar,,,,,Center,,
Eshel Hanasi Regional School,,,,,South,,
Eshel HaNassi,,,,,South,,
Eshkol Regional Council,,,,,South,,
Eshkolot,,,,,South,,
Eshtaol,,,,,Center,,
Et Tira,,,,,Center,,
Etz Ephraim,,,,,Center,,
Even Menachem,,,,,North,,
Even Sapir,,,,,Jerusalem,,
Even Shmuel,,,,,Center,,
Even Yehuda,,,,,Center,,
Evron,,,,,North,,
Eyal,,,,,Center,,
Ezer,,,,,Center,,
Farod,,,,,North,,
Fassuta,,,,,North,,
Fureidis,,,,,North,,
Ga'ash,,,,,Center,,
Ga'aton,,,,,North,,
Gadot,,,,,North,,
Gal'ed,,,,,North,,
Galon,,,,,Center,,
Gan Chaim,,,,,Center,,
Gan HaDarom,,,,,Center,,
Gan Haim,,,,,Center,,
Gan HaShomron,,,,,North,,
Gan Ner,,,,,North,,
Gan Shlomo,,,,,Center,,
Gan Shmuel,,,,,North,,
Gan Sorek,,,,,Center,,
Gan Yavne,,,,,Center,,
Gan Yoshia,,,,,Center,,
Ganei Am,,,,,Center,,
Ganei Hadar,,,,,Center,,
Ganei Tal,,,,,Center,,
Ganei Tikva,Ganei Tikvah,,,,Center,,
Ganei Yochanan,,,,,Center,,
Ganey Hugga,,,,,North,,
Ganot,,,,,Center,,
Gat,,,,,Center,,
Gat Rimon,,,,,Center,,
Gavim,,,,,South,,
Gazit,,,,,North,,
Gdera,,,,,Center,,
Ge'a,,,,,Center,,
Ge'alya,,,,,Center,,
Gedera,Gedera Industrial Area,,,,Center,,
Geffen,,,,,Center,,
Genigar,,,,,North,,
Gesher,,,,,North,,
Gesher HaZiv,,,,,North,,
Geulei Teiman,,,,,Center,,
Geulim,,,,,Center,,
Geva Binyamin,,,,,Yosh,,
Geva Carmel,,,,,North,,
Gezer,,,,,Center,,
Ghajar,,,,,North,,
Gharbiyye,,,,,North,,
Gibton,,,,,Center,,
Gidona,,,,,North,,
Gilat,,,,,South,,
Gilat Experimental Station,,,,,South,,
Gilboa Ski Resort,,,,,North,,
Gilgal,,,,,North,,
Gimmel,,,,,Center,,
Gimzo,,,,,Center,,
Ginaton,,,,,Center,,
Ginosar,,,,,North,,
Ginot Hadar,,,,,Center,,
Gita,,,,,North,,
Gitit,,,,,North,,
Givat Ada,,,,,North,,
Giv'at Asaf,,,,,Yosh,,
Giv'at Avni,,,,,North,,
Givat Brenner,,,,,Center,,
Givat Ela,,,,,North,,
Givat Haim (Ihud),,,,,Center,,
Givat Haim (Meuhad),,,,,Center,,
Giv'at Har'el and Giv'at HaRoeh,,,,,Yosh,,
Givat HaShlosha,,,,,Center,,
Givat Haviva,,,,,North,,
Givat Hen,"Givat He""""n",Givat He''n,,,Center,,
Givat Ishayahu,,,,,Center,,
Giv'at Ko'ah,,,,,North,,
Givat Nili,,,,,North,,
Givat Oz,,,,,North,,
Givat Shapira,,,,,Center,,
Givat Shmuel,Giv'at Shmuel,Giv`at Shemu'el,,,Center,,
Givat Washington,,,,,Center,,
Givat Wolfson,,,,,North,,
Givat Yearim,,,,,Jerusalem,,
Givat Ze'ev,Giv'at Ze'ev,,,,Yosh,,
Givatayim,Givatiim,,,,Tel Aviv,,
Givati,,,,,Center,,
Givolim,,,,,South,,
Givon HaHadasha,,,,,Jerusalem,,
Giv'ot Bar,,,,,South,,
Giv'ot Eden,,,,,Jerusalem,,
Gizo,,,,,Center,,
Gofra Beach,,,,,North,,
Golan (general),,,,,North,,
Golani Memorial Site,,,,,North,,
Gonen,,,,,North,,
Goral Hills,,,,,Center,,
Goren,,,,,North,,
Goren Farm Guesthouse,,,,,North,,
Gornot HaGalil,,,,,North,,
Grofit,Grufit,,,,South,,
Gshur,,,,,North,,
Gush Etzion Junction,,,,,Yosh,,
Gvaot,,,,,Yosh,,
Gvaram,,,,,South,,
Gvat,,,,,North,,
Gvulot,,,,,South,,
HaBonim,,,,,North,,
Had Ness,,,,,North,,
Hadar Am,,,,,Center,,
Hadar and Downtown Lower City (Haifa neighbourhood),,,,,Haifa,,
Hadera,Hadera - Center,Hadera - East,Hadera - Neveh Haim,Hadera - West,Haifa,,
Hadid,,,,,Center,,
Ha'Ela Junction,,,,,Center,,
Hafetz Haim,,,,,Center,,
Hagor,,,,,Center,,
HaGoshrim,,,,,North,,
HaHotrim,,,,,North,,
Haifa,Hadar and Downtown Lower City (Haifa neighbourhood),Haifa Bay,Haifa - Bay,Haifa - Carmel,Haifa,,
Haifa,Haifa - Carmel and Lower City,Haifa - Kiryat Haim & Kiryat Shmuel,Haifa - Ramot HaCarmel and Neveh Sha'anan,Haifa - West,Haifa,,
Hajajre,,,,,North,,
Hakfar Hayarok,,,,,Tel Aviv,,
Halamish,,,,,Yosh,,
Halukim Beach,,,,,South,,
HaMa'apil,,,,,Center,,
Hamadia,,,,,North,,
Hamat gader,,,,,North,,
Hamra,,,,,North,,
Hanaton,,,,,North,,
Haniel,,,,,Center,,
Hanita,,,,,North,,
HaOgen,,,,,Center,,
Ha'On,,,,,North,,
Har Adar,,,,,Yosh,,
Har Amsha,,,,,Yosh,,
Har Bracha,,,,,Yosh,,
Har Chalutz,,,,,North,,
Har Gilo,,,,,Yosh,,
Har Halutz,,,,,North,,
Har HaNegev,,,,,South,,
Har Tuv - Tzora Industrial Zone,,,,,Center,,
Hararit Yachad,,,,,Center,,
Harashim,,,,,North,,
Harduf,,,,,North,,
Harel,,,,,Center,,
Harish,,,,,Haifa,,
Harutzim,,,,,Center,,
HaSharon Prison,,,,,Center,,
Hashmonaim,,,,,Center,,
HaSollelim,,,,,North,,
Haspin,,,,,North,,
Hatzav,,,,,Center,,
Hatzav Industrial Zone,,,,,Center,,
Hatzba,,,,,South,,
Hatzerim,,,,,South,,
Hatzeva,,,,,South,,
Hatzor,,,,,Center,,
Hatzor Ashdod,,,,,Center,,
Hatzor HaGlilit,,,,,North,,
Hatzor HaGlilit Industrial Zone,,,,,North,,
Havat Eden,,,,,North,,
Havat Gil'ad,,,,,North,,
Havat Izra'am,,,,,Yosh,,
Havat Sdeh Bar,,,,,Yosh,,
Havat Shalem,,,,,Tel Aviv,,
Havat Shikmim,,,,,South,,
Havat Yair,,,,,Yosh,,
Havat Yizraam,,,,,South,,
Havatzelet HaSharon and Tzukei Yam,,,,,Center,,
HaYogev,,,,,North,,
Hazon,,,,,Center,,
HaZor'im,,,,,North,,
Hebron,,,,,Yosh,,
Heh,,,,,Center,,
Heletz,,,,,South,,
Hemdat,,,,,North,,
Hemed,,,,,Center,,
Herev Le'Et,,,,,Center,,
Hermesh,,,,,Yosh,,
Herut,,,,,Center,,
Herzliyya,Herzliya,Herzeliya - Center and Glil Yam,Herzeliya,Herzliya - West,Tel Aviv,,
Herzliyya,Herzliya - East,Cinema City Glilot,Gelilot - Pi Compound,Galil Yam,Tel Aviv,,
Het,,,,,Center,,
Hevel Modi'in Industrial Zone,,,,,Center,,
Hevron Jewish Settlement,,,,,Yosh,,
Hibat Zion,,,,,Center,,
Hila,,,,,Center,,
Hinanit,,,,,North,,
Hiran,,,,,South,,
Hizma,,,,,Yosh,,
Hod HaSharon,Hod Hsharon,,,,Center,,
Hodaya,,,,,Center,,
Hodayot,,,,,North,,
Hofit,,,,,Center,,
Hogla,,,,,Center,,
Holit,,,,,South,,
Holon,,,,,Tel Aviv,,
Horasha,,,,,Center,,
Horashim,,,,,Center,,
Hoshaya,,,,,North,,
Hossen,,,,,North,,
Hukok,,,,,North,,
Hulata,,,,,North,,
Hulda,,,,,Center,,
Hura,,,,,South,,
Hurfeish,,,,,North,,
Hussniyya,,,,,North,,
Ibillin,,,,,North,,
Ibim,Ivim,איבים,,,South,,
Ibtin,,,,,North,,
Idan,,,,,South,,
Idan HaNegev Industrial Zone,,,,,South,,
Idmit,,,,,North,,
Ifat,,,,,North,,
Iftach,,,,,North,,
Iksal,,,,,North,,
Ilania,,,,,North,,
Ilanot,,,,,Center,,
Ilut,,,,,North,,
Immanuel,,,,,Yosh,,
Inbar,,,,,North,,
Ir Ovot,Ir Ubot,,,,South,,
Irus,,,,,Center,,
Isfiya,,,,,Haifa,,
Ishpro Center,,,,,Center,,
Itamar,,,,,Yosh,,
Itzhar,,,,,Yosh,,
Jadeidi-Makr,,,,,North,,
Jadeidi‑Makr,,,,,North,,
Jahalin,,,,,Yosh,,
Jaljulia,,,,,Center,,
Jatt,,,,,North,,
Jerusalem,Jerusalem - Atarot Industrial Zone,Jerusalem - Center,Jerusalem - East,Jerusalem - North,Jerusalem,,
Jerusalem,Jerusalem - Qafr 'Aqab,Jerusalem - South,Jerusalem - West,,Jerusalem,,
Jib,,,,,Yosh,,
Jish (Gush Halav),,,,,North,,
Jisr az-Zarqa,Jisr ez Zarqa,,,,North,,
Jordan River Rafting (tourist site near Jordan River),,,,,North,,
Judira,,,,,Yosh,,
Julis,,,,,North,,
Ka'abiyye,,,,,Haifa,,
Ka'abiyye Tabbash,,,,,North,,
Kabul,,,,,North,,
Kadarim,,,,,North,,
Kadesh Barneah,,,,,South,,
Kadima Tzoran,Kadima-Zoran,Qadima - Zoran,,,Center,,
Kadita,,,,,North,,
Kadoorie,,,,,Haifa,,
Kafr Bara,,,,,Center,,
Kafr Misr,,,,,Center,,
Kafr Qara,,,,,Haifa,,
Kafr Qasim,,,,,Center,,
Kafr Tabbash,,,,,Haifa,,
Kahal,,,,,North,,
Kalanit,,,,,North,,
Kalia Beach,Kalia,,,,Yosh,,
Kamon,,,,,North,,
Kanaf,,,,,North,,
Kannot,,,,,Center,,
Kannot Industrial Zone,Kanot Industries,,,,Center,,
Karkom,,,,,North,,
Karmei Gat,,,,,Center,,
Karmei Katif,,,,,Yosh,,
Karmei Tzur,,,,,Yosh,,
Karmei Yossef,,,,,Center,,
Karmia,,,,,South,,
Karmiel,,,,,North,,
Karnei Shomron,,,,,Yosh,,
Kasifa,,,,,South,,
Katura,,,,,South,,
Katzir,,,,,North,,
Katzrin,Katzrin - Industrial Area,,,,North,,
Kaukab Abu al‑Hija,Kaukab Abu al-Hija,,,,North,,
Kdumim,,,,,Yosh,,
Kedar,,,,,Yosh,,
Kedma,,,,,Center,,
Kefar Yona,Kfar Yona,,,,Center,,
Keidar,,,,,South,,
Kela,,,,,North,,
Kerem Ben Zimra,,,,,North,,
Kerem BeYavne,,,,,Center,,
Kerem Maharal,,,,,North,,
Kerem Reim,,,,,Yosh,,
Kerem Shalom,,,,,South,,
Kerem Yavneh,,,,,Center,,
Keshet,,,,,North,,
Kfar Achim,,,,,Center,,
Kfar Aviv,,,,,Center,,
Kfar Avoda,,,,,Center,,
Kfar Aza,Kfar Azza,,,,South,,
Kfar Azar,,,,,Tel Aviv,,
Kfar Bara,,,,,Center,,
Kfar Baruch,Kfar Baruch train station,,,,Haifa,,
Kfar Bilu,,,,,Center,,
Kfar Bin Nun,,,,,Center,,
Kfar Biyalik,,,,,North,,
Kfar Blum,,,,,North,,
Kfar Chabad,,,,,Center,,
Kfar Daniel,,,,,Center,,
Kfar Edomim,,,,,Yosh,,
Kfar Eldad,,,,,Yosh,,
Kfar Etzion,,,,,Yosh,,
Kfar Galim,,,,,North,,
Kfar Gidon,,,,,North,,
Kfar Giladi,,,,,North,,
Kfar Glickson,,,,,North,,
Kfar HaHoresh,,,,,North,,
Kfar Haim,,,,,Center,,
Kfar HaMaccabi,,,,,North,,
Kfar HaNagid,,,,,Center,,
Kfar Hanania,,,,,North,,
Kfar HaNassi,,,,,North,,
Kfar HaNokdim,,,,,South,,
Kfar HaOranim,,,,,Center,,
Kfar Hari'f,Kfar HaRif and Re'em Junction,,,,Center,,
Kfar HaRoeh,,,,,Center,,
Kfar Haruv,,,,,North,,
Kfar Has,,,,,Center,,
Kfar Hassidim,,,,,Haifa,,
Kfar Hess,,,,,Center,,
Kfar Hittim,,,,,North,,
Kfar Kama,,,,,North,,
Kfar Kana,,,,,North,,
Kfar Kara,,,,,North,,
Kfar Kasem,Kfar Kassem,,,,Center,,
Kfar Kish,,,,,North,,
Kfar Maimon,Kfar Maimon and Tushia,,,,South,,
"Kfar Mal""""al",Kfar Mal''al,,,,Center,,
Kfar Manda,,,,,North,,
Kfar Masaryk,,,,,North,,
Kfar Menachem,,,,,Center,,
Kfar Monash,,,,,Center,,
Kfar Mordechai,,,,,Center,,
Kfar Nahum,כפר נחום,,,,North,,
Kfar Nehar HaYarden,,,,,North,,
Kfar Netter,,,,,Center,,
Kfar Pinnes,,,,,North,,
Kfar Ruppin,,,,,North,,
Kfar Rut,,,,,Center,,
Kfar Saba,Kefar Sava,,,,Center,,
Kfar Shamai,,,,,North,,
Kfar Shmariyahu,Kfar Shmaryahu,,,,Tel Aviv,,
Kfar Shmuel,,,,,Center,,
Kfar Silver,,,,,Center,,
Kfar Sirkin,,,,,Tel Aviv,,
Kfar Szold,,,,,North,,
Kfar Tapuach,,,,,Yosh,,
Kfar Tavor,,,,,North,,
Kfar Tikva,,,,,Center,,
Kfar Truman,,,,,Center,,
Kfar Uriah,,,,,Center,,
Kfar Vitkin,,,,,Center,,
Kfar Vradim,,,,,North,,
Kfar Warburg,,,,,Center,,
Kfar Yassif,,,,,North,,
Kfar Yavetz,,,,,Center,,
Kfar Yechezkel,,,,,Haifa,,
Kfar Yedidia,,,,,Center,,
Kfar Yehoshua,Kfar Yehoshua Train Station,,,,North,,
Kfar Yona Industrial Zone,,,,,Center,,
Kfar Yuval,,,,,North,,
Kfar Zeitim,,,,,North,,
Kfar Zoharim,,,,,Center,,
Khawaled,,,,,North,,
Kibutz Dan,,,,,North,,
Kibutz Megiddo,,,,,North,,
Kida,,,,,Yosh,,
Kidmat Galil Industrial Zone,,,,,North,,
Kidmat Zvi,,,,,North,,
Kidron,,,,,Center,,
Kinar,,,,,North,,
Kinneret Academic College,,,,,North,,
Kiryat Anavim,,,,,Jerusalem,,
Kiryat Arba,,,,,Yosh,,
Kiryat Ata,,Qiryat Ata,,,Haifa,,
Kiryat Atta,,,,,Haifa,,
Kiryat Bialik,Kiryat Biyalik,Kiryat Bialik Industrial Zone,Qiryat Bialik,,Haifa,,
Kiryat Ekron,,,,,Center,,
Kiryat Gat,Qiryat Gat,Kiryat Gat - Industrial Zone,,,South,,
Kiryat Malakhi,Kiryat Malachi,Kiryat Mal'akhi‑Yoav train station,Qiryat Mal'akhi,Kiryat Mal'akhi-Yoav train station,South,,
Kiryat Motzkin,,,Qiryat Mozqin,,Haifa,,
